EventDateOfDeath,Total Deaths - Rolling 14 Day Total,Total Deaths - Daily Total
2021-06-19,20,1
2021-06-20,18,0
2021-06-21,17,1
2021-06-22,17,3
2021-06-23,18,2
2021-06-24,20,1
2021-06-25,21,0
2021-06-26,21,0
2021-06-27,17,1
2021-06-28,17,0
2021-06-29,17,0
2021-06-30,15,0
2021-07-01,14,0
2021-07-02,12,0
2021-07-03,9,0
2021-07-04,8,0
2021-07-05,8,0
